R,G,B,ColorName,
255,145,164,Salmon Pink,#ff91a4
194,178,128,Sand,#c2b280
150,113,23,Sand Dune,#967117
236,213,64,Sandstorm,#ecd540
244,164,96,Sandy Brown,#f4a460
150,113,23,Sandy Taupe,#967117
146,0,10,Sangria,#92000a
80,125,42,Sap Green,#507d2a
15,82,186,Sapphire,#0f52ba
0,103,165,Sapphire Blue,#0067a5
203,161,53,Satin Sheen Gold,#cba135
255,36,0,Scarlet,#ff2400
253,14,53,Scarlet (Crayola),#fd0e35
255,216,0,School Bus Yellow,#ffd800
118,255,122,Screamin' Green,#76ff7a
0,105,148,Sea Blue,#006994
46,139,87,Sea Green,#2e8b57
50,20,20,Seal Brown,#321414
255,245,238,Seashell,#fff5ee
255,186,0,Selective Yellow,#ffba00
112,66,20,Sepia,#704214
138,121,93,Shadow,#8a795d
0,158,96,Shamrock Green,#009e60
252,15,192,Shocking Pink,#fc0fc0
255,111,255,Shocking Pink (Crayola),#ff6fff
136,45,23,Sienna,#882d17
192,192,192,Silver,#c0c0c0
203,65,11,Sinopia,#cb410b
0,116,116,Skobeloff,#007474
135,206,235,Sky Blue,#87ceeb
207,113,175,Sky Magenta,#cf71af
106,90,205,Slate Blue,#6a5acd
112,128,144,Slate Gray,#708090
0,51,153,Smalt (Dark Powder Blue),#039
147,61,65,Smokey Topaz,#933d41
16,12,8,Smoky Black,#100c08
255,250,250,Snow,#fffafa
15,192,252,Spiro Disco Ball,#0fc0fc
167,252,0,Spring Bud,#a7fc00
0,255,127,Spring Green,#00ff7f
35,41,122,St. Patrick'S Blue,#23297a
70,130,180,Steel Blue,#4682b4
250,218,94,Stil De Grain Yellow,#fada5e
153,0,0,Stizza,#900
79,102,106,Stormcloud,#4f666a
228,217,111,Straw,#e4d96f
255,204,51,Sunglow,#fc3
250,214,165,Sunset,#fad6a5
210,180,140,Tan,#d2b48c
249,77,0,Tangelo,#f94d00
242,133,0,Tangerine,#f28500
255,204,0,Tangerine Yellow,#fc0
228,113,122,Tango Pink,#e4717a
72,60,50,Taupe,#483c32
139,133,137,Taupe Gray,#8b8589
208,240,192,Tea Green,#d0f0c0
248,131,121,Tea Rose (Orange),#f88379
244,194,194,Tea Rose (Rose),#f4c2c2
0,128,128,Teal,#008080
54,117,136,Teal Blue,#367588
0,130,127,Teal Green,#00827f
207,52,118,Telemagenta,#cf3476
205,87,0,Tenné (Tawny),#cd5700
226,114,91,Terra Cotta,#e2725b
216,191,216,Thistle,#d8bfd8
222,111,161,Thulian Pink,#de6fa1
252,137,172,Tickle Me Pink,#fc89ac
10,186,181,Tiffany Blue,#0abab5
224,141,60,Tiger'S Eye,#e08d3c
219,215,210,Timberwolf,#dbd7d2
238,230,0,Titanium Yellow,#eee600
255,99,71,Tomato,#ff6347
116,108,192,Toolbox,#746cc0
255,200,124,Topaz,#ffc87c
253,14,53,Tractor Red,#fd0e35
128,128,128,Trolley Grey,#808080
0,117,94,Tropical Rain Forest,#00755e
0,115,207,True Blue,#0073cf
65,125,193,Tufts Blue,#417dc1
222,170,136,Tumbleweed,#deaa88
181,114,129,Turkish Rose,#b57281
48,213,200,Turquoise,#30d5c8
0,255,239,Turquoise Blue,#00ffef
160,214,180,Turquoise Green,#a0d6b4
124,72,72,Tuscan Red,#7c4848
138,73,107,Twilight Lavender,#8a496b
102,2,60,Tyrian Purple,#66023c
0,51,170,Ua Blue,#03a
217,0,76,Ua Red,#d9004c
136,120,195,Ube,#8878c3
83,104,149,Ucla Blue,#536895
255,179,0,Ucla Gold,#ffb300
60,208,112,Ufo Green,#3cd070
255,111,255,Ultra Pink,#ff6fff
18,10,143,Ultramarine,#120a8f
65,102,245,Ultramarine Blue,#4166f5
99,81,71,Umber,#635147
255,221,202,Unbleached Silk,#ffddca
91,146,229,United Nations Blue,#5b92e5
183,135,39,University Of California Gold,#b78727
255,255,102,Unmellow Yellow,#ff6
1,68,33,Up Forest Green,#014421
123,17,19,Up Maroon,#7b1113
174,32,41,Upsdell Red,#ae2029
225,173,33,Urobilin,#e1ad21
0,79,152,Usafa Blue,#004f98
153,0,0,Usc Cardinal,#900
255,204,0,Usc Gold,#fc0
211,0,63,Utah Crimson,#d3003f
243,229,171,Vanilla,#f3e5ab
197,179,88,Vegas Gold,#c5b358
200,8,21,Venetian Red,#c80815
67,179,174,Verdigris,#43b3ae
227,66,52,Vermilion (Cinnabar),#e34234
217,96,59,Vermilion (Plochere),#d9603b
160,32,240,Veronica,#a020f0
143,0,255,Violet,#8f00ff
50,74,178,Violet-Blue,#324ab2
127,0,255,Violet (Color Wheel),#7f00ff
134,1,175,Violet (Ryb),#8601af
238,130,238,Violet (Web),#ee82ee
64,130,109,Viridian,#40826d
146,39,36,Vivid Auburn,#922724
159,29,53,Vivid Burgundy,#9f1d35
218,29,129,Vivid Cerise,#da1d81
255,160,137,Vivid Tangerine,#ffa089
159,0,255,Vivid Violet,#9f00ff
0,66,66,Warm Black,#004242
164,244,249,Waterspout,#a4f4f9
100,84,82,Wenge,#645452
245,222,179,Wheat,#f5deb3
255,255,255,White,#fff
245,245,245,White Smoke,#f5f5f5
162,173,208,Wild Blue Yonder,#a2add0
255,67,164,Wild Strawberry,#ff43a4
252,108,133,Wild Watermelon,#fc6c85
114,47,55,Wine,#722f37
103,49,71,Wine Dregs,#673147
201,160,220,Wisteria,#c9a0dc
193,154,107,Wood Brown,#c19a6b
115,134,120,Xanadu,#738678
15,77,146,Yale Blue,#0f4d92
255,255,0,Yellow,#ff0
154,205,50,Yellow-Green,#9acd32
239,204,0,Yellow (Munsell),#efcc00
255,211,0,Yellow (Ncs),#ffd300
255,174,66,Yellow Orange,#ffae42
255,239,0,Yellow (Process),#ffef00
254,254,51,Yellow (Ryb),#fefe33
0,20,168,Zaffre,#0014a8
44,22,8,Zinnwaldite Brown,#2c1608
